artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,energy_scaled,valence_scaled,tempo_scaled,danceability_scaled,loudness_scaled
Tom & Dexx,69lB1X3CSXGofGVCouAS9F,I Need You,0.0959,0.7340000000000001,260625,0.6679999999999999,0.00286,2,0.6779999999999999,-7.973,1,0.0569,127.993,4,0.1639999999999999,13,0.3817932230148817,-1.0641853065927849,0.287144252382133,0.8089394052348502,0.3104499755865155
Cory Asbury,5QcsUp7WqZqH4gpXPOpIoP,You Won't Let Go,0.495,0.5379999999999999,214331,0.633,1.21e-06,1,0.0975,-7.443,1,0.0382,152.015,4,0.42,50,0.2477516960235227,-0.0767345864040355,1.0821124647052751,-0.22171192665065473,0.3912084699626478
Galimatias,7L5P30Eg8eta8Q9em2VteI,South,0.6459999999999999,0.6940000000000001,215526,0.3329999999999999,0.0253,0,0.108,-11.108,0,0.0651,76.013,4,0.433,53,-0.9011756781881292,-0.02659060451945055,-1.4330475583146007,0.5986023987276043,-0.1672441373741915
DirtyFaceSmook,13gfpKBHS10kCbIOp0b1LO,Death Bed (feat. 458Keez & Don Dolla The 48 Lord),0.0198,0.746,168640,0.349,6.62e-06,1,0.0959,-10.324000000000002,1,0.108,135.151,4,0.0891,0,-0.8398995515635075,-1.3530917868355083,0.5240263797574167,0.8720405071870234,-0.04778251550459223
Awon,62fddSET1hhC3mYbLLYi5T,How I Feel,0.0819999999999999,0.7490000000000001,170233,0.6,0.000113,8,0.726,-8.209,1,0.159,86.001,4,0.746,34,0.12136968486024093,1.1807221900863247,-1.1025112788756053,0.8878157826750674,0.27448958941148305
Niclas Lundin,3iyFKlATitPEoFOHeDxTKk,Changes,0.7709999999999999,0.584,233982,0.342,0.0,0,0.121,-10.201,1,0.0332,127.675,4,0.2339999999999999,2,-0.8667078569617791,-0.7941792502911739,0.2766205702774474,0.02017563083267807,-0.029040449828621737
ESTA.,5cYf1gDSYgzZLqrYZ1izDd,Lullaby,0.947,0.407,80656,0.0511,0.826,4,0.105,-21.094,1,0.1009999999999999,120.878,4,0.208,39,-1.980784434155677,-0.8944672140603434,0.051685138624779144,-0.9105656229618843,-1.688856071034676
Machine Head,1Bjg1iKnCMnIjjZEF2lZy3,Volatile,0.000139,0.425,278787,0.991,5.99e-06,1,0.336,-3.406,1,0.103,103.348,4,0.326,50,1.6188050292494267,-0.4393141477233417,-0.5284411107310067,-0.8159139700336235,1.0063443978804703
King Tubby,1F6UNMmt3eFIY5NkHavtsV,Dred Dub,0.08,0.815,207028,0.423,0.8740000000000001,6,0.332,-12.232,0,0.065,131.727,4,0.354,7,-0.5564974659246333,-0.3313117252026974,0.4107147837623104,1.234871843412022,-0.338513095258668
Kamandi,5t0p0iaYC07OZJOuwqGjWR,Tangi,0.523,0.614,160000,0.374,0.851,7,0.0997,-14.923,0,0.25,119.967,4,0.0811,10,-0.7441556037125364,-1.383949621841407,0.021537105928651268,0.1779283857131125,-0.7485529223646529
HammAli & Navai,2VMuFsc7Rj9OCo1JpXOi1P,Чика на BENZ’е,0.267,0.872,226341,0.8,0.0,11,0.104,-6.689,0,0.149,123.027,4,0.512,44,0.8873212676680088,0.2781305161637963,0.12280272618128708,1.5346020776848475,0.5060988563015227
Juul.,0rmrWTFgKYVXHW9r5y0wKc,Pods,0.01,0.902,34929,0.283,0.919,11,0.107,-15.35,0,0.176,109.953,4,0.552,45,-1.0926635738900707,0.4324196911932885,-0.3098596003490918,1.692354832565282,-0.8136168414186311
Dub P,2IvIBZaBrWHsghnv3VDysq,Alone,0.347,0.777,213333,0.5,4.16e-06,1,0.111,-7.0,1,0.0644,135.02,4,0.145,31,-0.2616061065436428,-1.1374726647317932,0.5196911522237254,1.035051687230139,0.45871038129967906
Los Tucanes De Tijuana,0cX4xQMh43XVhXniwzDfc4,Soy Parrandero,0.127,0.679,205360,0.787,1.73e-06,7,0.24,-7.284,1,0.0579,164.953,3,0.7759999999999999,49,0.8375344147855038,1.2964390713584435,1.5102740970022042,0.5197260212873871,0.4154360182754875
Inukshuk,0ps3ajaQreCrpqpSOBHeog,Too Far Gone,0.0345,0.402,204944,0.916,0.00872,3,0.106,-1.734,1,0.0505,177.995,4,0.0959,34,1.331573185696514,-1.3268626270804948,1.9418774366541243,-0.9368577487752896,1.261114591459514
Gordon Pine,2CkFlO1iSADJIJrmYy8oq0,Math Class,0.205,0.8190000000000001,138118,0.128,0.846,2,0.103,-18.449,1,0.125,142.013,4,0.409,1,-1.6862760505660905,-0.11916410953714586,0.7511128785069546,1.2559055440627471,-1.2858254717424689
Mayonnaise,1SzjlvlBv0VoHBTZAG1zku,Tayo Na Lang Dalawa (Live),0.0225,0.406,273973,0.955,0.00997,1,0.326,-4.111000000000001,1,0.108,90.996,4,0.366,36,1.4809337443440285,-0.28502497269384974,-0.9372100458161561,-0.9158240481245651,0.8989203629084452
Dara Bubamara,4nScueUVqUTPXhDvU2JVco,Amnezija,0.1689999999999999,0.718,153610,0.847,0.0,1,0.0724,-4.102,0,0.0457,124.952,4,0.456,43,1.067319889627834,0.06212567112250746,0.18650740558858236,0.7248046026319512,0.9002917335676627
Ty Segall,0navLlS5wOKczSCBRMlf17,You Say All The Nice Things,0.41,0.5820000000000001,262933,0.565,0.00109,0,0.123,-9.494,1,0.0274,122.069,4,0.627,31,-0.012671842131118523,0.721711894373586,0.09109930650742275,0.009658780507316358,0.078688334178785
Julia Cole,7aElDYjLFRjjizFzBKTmnL,Adjust,0.408,0.921,189424,0.547,0.0,7,0.111,-7.009,1,0.131,124.96,4,0.525,8,-0.08160748458381724,0.32827449804838127,0.18677215230819694,1.7922649106562236,0.4573390106404617
Steve Aoki,0FAlhBBSztIKcVcVduuXqM,All Night - Steve Aoki Remix,0.0168,0.7440000000000001,246857,0.892,0.00919,6,0.3389999999999999,-2.543,0,0.0812,105.023,4,0.489,37,1.2396589957595818,0.1894142405218383,-0.4730097663116719,0.8615236568616617,1.1378436066476443
High Valley,0IiXbyDfGy4TfUqkExwKQz,She's With Me - Farmhouse Sessions,0.00498,0.581,188425,0.897,0.0,11,0.162,-5.182,1,0.0289,111.008,4,0.68,32,1.2588077853297759,0.9261450512876631,-0.27494612669989904,0.004400355344634625,0.7357272544615818
Max Richter,1jQLJUpwVzFoWOTEfrgbBo,A New Introduction,0.0512,0.166,163500,0.0669,0.372,9,0.0868,-28.165,1,0.0366,129.17,5,0.033,22,-1.9202742591138637,-1.569482354814371,0.3260951135054505,-2.177846087168039,-2.766296285626433
J.BASS,3CCIE5fXr8J5pa8Ngn1cWQ,Stay With Me 붙어있자,0.711,0.595,185342,0.484,0.0,3,0.0922,-7.322,1,0.0411,93.992,4,0.3279999999999999,30,-0.32288223316826425,-0.43159968897186757,-0.8380623993204379,0.0780183076221707,0.4096457866032364
